nama,jenis,lat,lon,provinsi,pm25_h1,pm25_h2,pm25_h3,jarak_grid_km_h1,jarak_grid_km_h2,jarak_grid_km_h3,tanggal_ramal_h1,tanggal_ramal_h2,tanggal_ramal_h3
Gemar Baru,village,0.6422,116.63938,KALIMANTAN TIMUR,24.958724975585938,25.821014404296875,24.255998611450195,18.084608932379126,18.084608932379126,18.084608932379126,2026-09-13,2026-09-14,2026-09-15
Margahayu,village,-0.50184,116.84252,KALIMANTAN TIMUR,13.880085945129395,14.11353588104248,13.192788124084473,34.82315644172033,34.82315644172033,34.82315644172033,2026-09-13,2026-09-14,2026-09-15
Hambau,village,0.12088,116.39797,KALIMANTAN TIMUR,39.74984359741211,41.65632629394531,35.82001876831055,30.02252959330913,30.02252959330913,30.02252959330913,2026-09-13,2026-09-14,2026-09-15
Bumi Jaya,village,1.00648,117.85198,KALIMANTAN TIMUR,15.843913078308105,15.382493019104004,14.73497486114502,35.88213213430279,35.88213213430279,35.88213213430279,2026-09-13,2026-09-14,2026-09-15
Saliki,village,-0.40176,117.41969,KALIMANTAN TIMUR,17.077356338500977,18.832569122314453,16.370994567871094,38.75198470385871,38.75198470385871,38.75198470385871,2026-09-13,2026-09-14,2026-09-15
Rintik,village,-1.49946,116.38518,KALIMANTAN TIMUR,22.6110897064209,22.278844833374023,20.45400619506836,38.75593173892422,38.75593173892422,38.75593173892422,2026-09-13,2026-09-14,2026-09-15
Tanjung Isuy,village,-0.51338,116.14217,KALIMANTAN TIMUR,17.860916137695312,20.413249969482422,17.640682220458984,21.274333517106246,21.274333517106246,21.274333517106246,2026-09-13,2026-09-14,2026-09-15
Tepian Langsat,village,0.77108,117.4489,KALIMANTAN TIMUR,18.601871490478516,19.84461212158203,18.745744705200195,17.10497666051172,17.10497666051172,17.10497666051172,2026-09-13,2026-09-14,2026-09-15
Klandasan Ilir,village,-1.2744,116.84305,KALIMANTAN TIMUR,14.908312797546387,14.671296119689941,14.206857681274414,28.25776053480667,28.25776053480667,28.25776053480667,2026-09-13,2026-09-14,2026-09-15
Tanjung Harapan,village,-0.31908,116.86912,KALIMANTAN TIMUR,28.028072357177734,27.442781448364258,25.104246139526367,28.885973939137465,28.885973939137465,28.885973939137465,2026-09-13,2026-09-14,2026-09-15
Mendik Karya,village,-1.42979,116.26673,KALIMANTAN TIMUR,15.564688682556152,15.641468048095703,15.175750732421875,31.56597799139198,31.56597799139198,31.56597799139198,2026-09-13,2026-09-14,2026-09-15
Nenang,village,-1.27714,116.75078,KALIMANTAN TIMUR,14.908312797546387,14.671296119689941,14.206857681274414,18.82926516895568,18.82926516895568,18.82926516895568,2026-09-13,2026-09-14,2026-09-15
Tepian Indah,village,0.67858,117.30738,KALIMANTAN TIMUR,26.685718536376953,26.02151107788086,23.504852294921875,26.719681606609477,26.719681606609477,26.719681606609477,2026-09-13,2026-09-14,2026-09-15
Air Putih,village,-0.48376,117.12715,KALIMANTAN TIMUR,15.37684440612793,15.118368148803711,14.298763275146484,24.233551126758755,24.233551126758755,24.233551126758755,2026-09-13,2026-09-14,2026-09-15
Tani Bhakti,village,-1.08857,116.956,KALIMANTAN TIMUR,16.005403518676758,16.067886352539062,15.408806800842285,20.24369791754232,20.24369791754232,20.24369791754232,2026-09-13,2026-09-14,2026-09-15
Makmur Jaya,village,1.11643,116.93385,KALIMANTAN TIMUR,30.472505569458008,31.869352340698242,27.740570068359375,27.52865488234646,27.52865488234646,27.52865488234646,2026-09-13,2026-09-14,2026-09-15
Sang-Sang,village,-0.49322,115.92158,KALIMANTAN TIMUR,17.860916137695312,20.413249969482422,17.640682220458984,30.368264553162067,30.368264553162067,30.368264553162067,2026-09-13,2026-09-14,2026-09-15
Tabang Lama,village,0.5875,116.02689,KALIMANTAN TIMUR,18.094446182250977,20.776586532592773,18.164382934570312,24.988083637268574,24.988083637268574,24.988083637268574,2026-09-13,2026-09-14,2026-09-15
Muara Muntai Ilir,village,-0.36124,116.39593,KALIMANTAN TIMUR,40.47175216674805,40.05182647705078,34.01567840576172,28.919634166337705,28.919634166337705,28.919634166337705,2026-09-13,2026-09-14,2026-09-15
Batu Putih,village,1.3704,118.4336,KALIMANTAN TIMUR,21.75948143005371,21.66048812866211,20.86483383178711,20.086027752092818,20.086027752092818,20.086027752092818,2026-09-13,2026-09-14,2026-09-15
Sabintulung,village,-0.06942,116.77821,KALIMANTAN TIMUR,40.47175216674805,40.05182647705078,34.01567840576172,24.56621619933744,24.56621619933744,24.56621619933744,2026-09-13,2026-09-14,2026-09-15
Muara Kembang,village,-0.76046,117.28462,KALIMANTAN TIMUR,15.37684440612793,15.118368148803711,14.298763275146484,21.600002084898396,21.600002084898396,21.600002084898396,2026-09-13,2026-09-14,2026-09-15
Tanjung Laong,village,-0.3263,116.05449,KALIMANTAN TIMUR,35.77309799194336,36.768409729003906,32.896358489990234,14.92781249920164,14.92781249920164,14.92781249920164,2026-09-13,2026-09-14,2026-09-15
Karang Rejo,village,-1.24324,116.84008,KALIMANTAN TIMUR,14.908312797546387,14.671296119689941,14.206857681274414,27.11923282293629,27.11923282293629,27.11923282293629,2026-09-13,2026-09-14,2026-09-15
Tanjung Batu,village,-0.38689,117.05753,KALIMANTAN TIMUR,28.028072357177734,27.442781448364258,25.104246139526367,21.311030324079397,21.311030324079397,21.311030324079397,2026-09-13,2026-09-14,2026-09-15
Benua Puhun,village,-0.2766,116.79888,KALIMANTAN TIMUR,40.47175216674805,40.05182647705078,34.01567840576172,23.697860133910073,23.697860133910073,23.697860133910073,2026-09-13,2026-09-14,2026-09-15
Loleng,village,-0.26506,116.65432,KALIMANTAN TIMUR,40.47175216674805,40.05182647705078,34.01567840576172,9.424330638087374,9.424330638087374,9.424330638087374,2026-09-13,2026-09-14,2026-09-15
Pereng Taliq,village,-0.81608,116.25864,KALIMANTAN TIMUR,17.860916137695312,20.413249969482422,17.640682220458984,21.856748822651916,21.856748822651916,21.856748822651916,2026-09-13,2026-09-14,2026-09-15
